item,count,mean_Openness,mean_Conscientiousness,mean_Extraversion,mean_Agreeableness,mean_Neuroticism
pride and prejudice ,173,0.8213872832369942,0.6294797687861272,0.6085260115606936,0.7351156069364162,0.6882947976878612
the inheritance games,192,0.7518229166666667,0.6320312499999999,0.634375,0.7200520833333334,0.6819010416666668
berserk,201,0.817910447761194,0.5753731343283582,0.5476368159203979,0.7033582089552238,0.7144278606965174
the bell jar,212,0.8887971698113206,0.584433962264151,0.6232311320754716,0.7064858490566037,0.7584905660377359
solo leveling,208,0.7533653846153846,0.6257211538461539,0.5917067307692307,0.7006009615384615,0.6387019230769231
of mice and men,169,0.7353550295857987,0.6190828402366864,0.6445266272189349,0.710207100591716,0.6597633136094675
the summer i turned pretty ,179,0.7106145251396647,0.6481843575418995,0.7064245810055866,0.7504189944134078,0.6715083798882683
the psychology of money,182,0.7962912087912088,0.7350274725274724,0.6542582417582418,0.7118131868131868,0.5884615384615385
demon copperhead,176,0.8484375,0.6971590909090909,0.6769886363636363,0.742471590909091,0.5883522727272728
meditations,272,0.8720588235294118,0.660110294117647,0.6214154411764705,0.6943933823529411,0.617279411764706
the secret,683,0.8363469985358712,0.6607247437774524,0.622584187408492,0.7201683748169839,0.657393850658858
haunting adeline,232,0.7857758620689655,0.5889008620689655,0.5827586206896552,0.7105603448275862,0.7321120689655174
crime and punishment ,172,0.8725290697674418,0.6027616279069767,0.5734011627906976,0.6449127906976745,0.6752906976744186
divergent,196,0.7408163265306121,0.633673469387755,0.6528061224489796,0.7297193877551019,0.6857142857142856
the fault in our stars,176,0.7715909090909091,0.6311079545454544,0.6481534090909091,0.7482954545454544,0.7088068181818181
the perks of being a wallflower,182,0.8244505494505495,0.5804945054945055,0.6038461538461539,0.7233516483516482,0.7462912087912087
before the coffee gets cold,167,0.8362275449101798,0.6320359281437126,0.5800898203592815,0.7437125748502995,0.696556886227545
how to win friends and influence people,198,0.801010101010101,0.6561868686868687,0.6449494949494949,0.7064393939393939,0.6154040404040404
the stranger,243,0.8784979423868311,0.5931069958847737,0.6212962962962962,0.6882716049382716,0.6993827160493826
the midnight library,194,0.8532216494845362,0.6595360824742269,0.6244845360824742,0.7720360824742268,0.6779639175257731
atomic habit,2600,0.8072884615384615,0.6900865384615384,0.6415480769230769,0.7338365384615384,0.6123942307692307
maze runner,262,0.7156488549618321,0.6048664122137405,0.609351145038168,0.7293893129770991,0.6591603053435114
