item,count,mean_Openness,mean_Conscientiousness,mean_Extraversion,mean_Agreeableness,mean_Neuroticism
scream ,465,0.7365591397849462,0.5981720430107528,0.5895698924731182,0.7141935483870967,0.7217741935483871
th century girl,420,0.7641071428571428,0.6050595238095238,0.5856547619047618,0.7262500000000001,0.7357142857142858
it ends with us,441,0.6846371882086169,0.6825963718820861,0.6901927437641724,0.7810090702947845,0.6496598639455783
inception,416,0.7984975961538462,0.6483173076923078,0.6295673076923077,0.6915264423076922,0.6319110576923077
deadpool and wolverine,440,0.7459659090909091,0.6174431818181817,0.6189772727272728,0.7255681818181818,0.6711931818181818
whiplash,365,0.8186301369863014,0.6036986301369863,0.6206164383561643,0.685,0.6718493150684932
marvel,912,0.7688596491228069,0.6679824561403509,0.6213541666666667,0.7319901315789473,0.6394462719298245
fast and furious ,422,0.6970971563981042,0.6632109004739336,0.6552132701421801,0.7341232227488151,0.6270734597156398
avatar the way of water,214,0.7809579439252337,0.6245327102803737,0.6162383177570093,0.7376168224299063,0.6892523364485982
joker,452,0.7855641592920353,0.631858407079646,0.6119469026548673,0.6950774336283186,0.665320796460177
aquaman,591,0.7651438240270726,0.6858714043993233,0.6329103214890017,0.7478849407783418,0.6350253807106598
howls moving castle,166,0.8195783132530119,0.5828313253012049,0.5754518072289156,0.7408132530120481,0.7384036144578312
the holdovers,326,0.86840490797546,0.6589723926380368,0.6242331288343558,0.7313650306748466,0.652377300613497
talk to me,358,0.8069832402234636,0.6219972067039107,0.6347765363128491,0.7307960893854749,0.6833798882681564
killers of the flower moon,328,0.8549542682926828,0.6767530487804878,0.654420731707317,0.7339176829268291,0.6157012195121951
encanto,322,0.7894409937888198,0.6122670807453415,0.5870341614906832,0.7447981366459627,0.6983695652173914
shutter island,348,0.7946839080459769,0.6140086206896552,0.6404454022988506,0.6902298850574712,0.6584770114942529
guardians of the galaxy ,903,0.7791528239202659,0.639562569213732,0.6105758582502767,0.7453211517165007,0.6568106312292359
parasite,363,0.8466942148760331,0.6237603305785124,0.621969696969697,0.7044077134986225,0.6519972451790634
moana,354,0.7180790960451978,0.6267655367231638,0.6389124293785311,0.7401129943502824,0.6794491525423728
white chicks,346,0.725650289017341,0.6252890173410405,0.6659682080924856,0.7377167630057803,0.6682803468208093
evil dead rise,326,0.7845092024539878,0.6385736196319017,0.6063650306748467,0.7289877300613496,0.6765337423312884
rrr,285,0.7882456140350876,0.6674561403508772,0.6402631578947369,0.7264035087719299,0.6246491228070175
deadpool ,974,0.7520790554414785,0.6303901437371663,0.622535934291581,0.7265143737166324,0.6616786447638603
tangled,346,0.7184971098265895,0.6263005780346821,0.6284682080924855,0.7563583815028901,0.7031069364161849
spider man across the spider verse,296,0.7503378378378378,0.5891891891891892,0.5958614864864865,0.7157094594594594,0.6690878378378379
waves,327,0.7719418960244648,0.5935015290519877,0.6601681957186545,0.7184250764525995,0.6965596330275229
cant remember ,56,0.7388392857142857,0.6616071428571428,0.6218750000000001,0.7401785714285714,0.6575892857142858
nimona,281,0.8333629893238435,0.5402135231316726,0.5379003558718861,0.7417259786476869,0.7615658362989324
the little mermaid,422,0.7880924170616113,0.6520142180094787,0.6362559241706162,0.7785545023696682,0.6702606635071089
mission impossible ,384,0.7585937500000001,0.6711588541666668,0.6369791666666665,0.7294921875,0.6072916666666667
star wars,449,0.7542316258351892,0.6460467706013363,0.6140868596881961,0.6952115812917594,0.638641425389755
dead poets society,373,0.8634718498659517,0.6140080428954423,0.5580428954423592,0.71843163538874,0.7367292225201071
damsel,283,0.7814487632508833,0.6682862190812721,0.6340106007067137,0.7548586572438163,0.6555653710247349
dune part ,296,0.8230574324324325,0.6288006756756757,0.6120777027027028,0.706081081081081,0.6511824324324325
enola holmes,370,0.7918918918918919,0.6208783783783783,0.5887162162162162,0.7224999999999999,0.6770945945945946
cars,400,0.664375,0.6321875,0.6417499999999999,0.6972499999999999,0.6301875
bottoms,260,0.8654807692307692,0.5787500000000001,0.6189423076923077,0.72,0.7397115384615384
pride and prejudice,430,0.829767441860465,0.640232558139535,0.6086046511627908,0.7456976744186047,0.6848255813953489
spiderman into the spiderverse,159,0.7702830188679245,0.5932389937106919,0.5891509433962265,0.7235849056603775,0.6833333333333333
everything everywhere all at once ,210,0.873690476190476,0.5810714285714286,0.6020238095238094,0.7316666666666666,0.6889285714285714
twisters,290,0.7005172413793104,0.6684482758620689,0.6751724137931034,0.7479310344827585,0.648448275862069
mamma mia,304,0.7495065789473684,0.6411184210526316,0.6717105263157894,0.7538651315789474,0.6800164473684209
fast and furious,662,0.7034743202416918,0.6658232628398791,0.6545694864048338,0.7321374622356496,0.6276812688821752
spirited away,264,0.8216856060606061,0.6145833333333334,0.5695075757575757,0.7303030303030303,0.7037878787878787
hunger games ,786,0.7615458015267176,0.6325063613231552,0.6364503816793893,0.7393129770992365,0.691412213740458
leave the world behind,276,0.7972826086956522,0.6689311594202898,0.6232789855072463,0.7482789855072463,0.6288949275362319
spiderman no way home,141,0.7453900709219857,0.6203900709219857,0.6200354609929077,0.724290780141844,0.6709219858156028
where the crawdads sing,243,0.7910493827160492,0.6636831275720165,0.643312757201646,0.7767489711934157,0.6565843621399178
the menu,237,0.8498945147679325,0.6131856540084387,0.6254219409282699,0.7177215189873416,0.7054852320675105
creed ,309,0.7190129449838188,0.6648867313915857,0.6687702265372168,0.7296925566343041,0.5927993527508091
one piece,516,0.7817344961240309,0.6226744186046512,0.5867248062015504,0.7061531007751938,0.6760174418604651
anatomy of a fall,246,0.8870934959349592,0.6266260162601627,0.6208333333333335,0.7068089430894309,0.6701219512195122
twilight,374,0.7651069518716577,0.6396390374331551,0.6360962566844919,0.7385695187165776,0.7012700534759357
transformers,585,0.7397435897435898,0.6486752136752137,0.6089316239316239,0.7305555555555555,0.6389316239316238
